eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-denovo,all,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.9697196426470244,0.9637388263427876,0.005980816304236636,-0.006990200721698448,0.0198139471846578
eval-denovo,all,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.9697196426470244,0.9657666094306936,0.0039530332163307345,-0.008896042277536613,0.018671925786000205
eval-denovo,all,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.9697196426470244,0.9668991432687107,0.0028204993783134766,-0.008767697305685608,0.01602791277661548
eval-denovo,all,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.43904381647165924,0.5170273561240208,-0.07798353965236164,-0.1191562353458307,-0.04047853826215052
eval-denovo,all,L,marinfold-exp232-decontam-m1-p02-step145199,19,0.43904381647165924,0.5202582284306679,-0.08121441195900853,-0.11921395774380804,-0.04414587207521937
eval-denovo,all,L,marinfold-exp199-cw-p06-cool-step290400,19,0.43904381647165924,0.5329435695209775,-0.09389975304931823,-0.1353539333251919,-0.05657611065932566
eval-denovo,all,L/2,marinfold-exp232-decontam-m2-p06-step145199,19,0.6155628458063491,0.6716998018908438,-0.05613695608449473,-0.10956216838086069,0.003936562584378502
eval-denovo,all,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.6155628458063491,0.6792731329048899,-0.06371028709854083,-0.11952493445165235,-0.0006369856649589196
eval-denovo,all,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.6155628458063491,0.7101715910451293,-0.09460874523878039,-0.14354280396719993,-0.04003319916468521
eval-denovo,all,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.7551819152175796,0.8111038396723359,-0.05592192445475636,-0.11756191339050878,0.008802237764510423
eval-denovo,all,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.7551819152175796,0.8086870540120509,-0.053505138794471295,-0.10302309046829751,0.0010121238919239912
eval-denovo,all,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.7551819152175796,0.849991560488971,-0.09480964527139153,-0.14556162390217905,-0.04647450258792964
eval-denovo,all,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.5052726722207244,0.5913805855058719,-0.08610791328514744,-0.1374104439307772,-0.032376134502656057
eval-denovo,all,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.5052726722207244,0.5878697377395716,-0.0825970655188472,-0.12879046415425544,-0.033576343725476535
eval-denovo,all,R,marinfold-exp199-cw-p06-cool-step290400,19,0.5052726722207244,0.6188362267155597,-0.1135635544948353,-0.16231979541506736,-0.06633060756026514
eval-denovo,long,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.9437350962619735,0.9510462216543374,-0.007311125392363882,-0.05545694333445609,0.026351750205389067
eval-denovo,long,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.9437350962619735,0.9522777617997157,-0.008542665537742014,-0.05391958065838256,0.023975907114719627
eval-denovo,long,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.9437350962619735,0.9553213531119651,-0.01158625684999153,-0.06172999752387316,0.020859974015731645
eval-denovo,long,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.3009778216572612,0.3549753929616026,-0.05399757130434131,-0.08550913998188663,-0.0246137105871671
eval-denovo,long,L,marinfold-exp232-decontam-m1-p02-step145199,19,0.3009778216572612,0.3619474166160092,-0.06096959495874799,-0.0950925611462737,-0.02825960721833261
eval-denovo,long,L,marinfold-exp199-cw-p06-cool-step290400,19,0.3009778216572612,0.3609132960413365,-0.05993547438407525,-0.09717056445098064,-0.02761178433673587
eval-denovo,long,L/2,marinfold-exp232-decontam-m2-p06-step145199,19,0.4300294979933765,0.5092282394150175,-0.07919874142164092,-0.1320768874493066,-0.022787094891480373
eval-denovo,long,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.4300294979933765,0.526421285227745,-0.09639178723436853,-0.14681745103780003,-0.047187184360238055
eval-denovo,long,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.4300294979933765,0.5336581883900564,-0.10362869039667992,-0.16383733226084626,-0.04829165360553469
eval-denovo,long,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.601158744887092,0.685130710310392,-0.08397196542330002,-0.13960114132344179,-0.023442432177791486
eval-denovo,long,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.601158744887092,0.6916077134638975,-0.09044896857680562,-0.1528925667632152,-0.02443940679389392
eval-denovo,long,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.601158744887092,0.7029632036521319,-0.10180445876504009,-0.1507944692120436,-0.05142739548705645
eval-denovo,long,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.43712679933182885,0.5489256295770376,-0.11179883024520876,-0.17772083810661918,-0.04506038612425851
eval-denovo,long,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.43712679933182885,0.5481940978167771,-0.11106729848494822,-0.1613975249517307,-0.05989723149726508
eval-denovo,long,R,marinfold-exp199-cw-p06-cool-step290400,19,0.43712679933182885,0.5726387157407324,-0.1355119164089035,-0.20275116186356998,-0.07288874923583197
eval-denovo,medium,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.9843833748967652,0.9850692957557668,-0.0006859208590016658,-0.007266475078353008,0.007218887857571127
eval-denovo,medium,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.9843833748967652,0.9841819406980472,0.00020143419871791672,-0.006533788633556939,0.00885452259752002
eval-denovo,medium,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.9843833748967652,0.9834397078185254,0.0009436670782396154,-0.007092946395791667,0.009987686248302778
eval-denovo,medium,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.16444638902989048,0.1706016746384286,-0.0061552856085380974,-0.014934618914849894,-0.0006662024371731235
eval-denovo,medium,L,marinfold-exp232-decontam-m1-p02-step145199,19,0.16444638902989048,0.17148525915876867,-0.0070388701288781755,-0.01577946674058001,-0.0014439879820628341
eval-denovo,medium,L,marinfold-exp199-cw-p06-cool-step290400,19,0.16444638902989048,0.17005127904159337,-0.005604890011702866,-0.014354721335609747,-8.158357467878832e-05
eval-denovo,medium,L/2,marinfold-exp232-decontam-m2-p06-step145199,19,0.2979757863813958,0.32434137775586946,-0.02636559137447361,-0.052887671689808,-0.0067261939260797
eval-denovo,medium,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.2979757863813958,0.32031396583794775,-0.02233817945655198,-0.052733732887795245,-0.00024320824353899138
eval-denovo,medium,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.2979757863813958,0.3257744902850888,-0.027798703903693055,-0.05492359177998063,-0.00814893835305528
eval-denovo,medium,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.5700051414592171,0.5805048702695688,-0.010499728810351891,-0.04961470195133714,0.027675177918559515
eval-denovo,medium,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.5700051414592171,0.5625369972948849,0.007468144164332092,-0.029438937717502917,0.0451337318295418
eval-denovo,medium,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.5700051414592171,0.5982044289354381,-0.028199287476221017,-0.05893349638141974,0.001122032563864464
eval-denovo,medium,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.6412738350023508,0.6644382411293609,-0.023164406127010054,-0.08792739710113634,0.05000839997471264
eval-denovo,medium,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.6412738350023508,0.6666440278892976,-0.025370192886946787,-0.08524663319777438,0.035257501040049474
eval-denovo,medium,R,marinfold-exp199-cw-p06-cool-step290400,19,0.6412738350023508,0.6838524343154223,-0.04257859931307156,-0.0964206118728268,0.00915125038875193
eval-denovo,short,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.9842136025168315,0.9862511814790915,-0.0020375789622602294,-0.00998762475056204,0.008430984212903428
eval-denovo,short,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.9842136025168315,0.9899099712791711,-0.005696368762339733,-0.01041705406461386,-0.0015760733533551024
eval-denovo,short,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.9842136025168315,0.9881038372894593,-0.003890234772627814,-0.011288892340813277,0.005941179480851415
eval-denovo,short,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.10819997553833288,0.10791616109494444,0.00028381444338841617,-0.001033093808291877,0.001715459594000801
