eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-denovo,all,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.9697196426470244,0.9647347462213182,0.0049848964257062905,-0.008728025218168966,0.020281971299057344
eval-denovo,all,L,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.43904381647165924,0.5356079208750071,-0.0965641044033479,-0.1400691585215717,-0.0568181872770798
eval-denovo,all,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.6155628458063491,0.7011213296083002,-0.08555848380195118,-0.14508871957107752,-0.019638595886468758
eval-denovo,all,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.7551819152175796,0.8292321415030075,-0.07405022628542797,-0.1333238135579879,-0.00570753110931387
eval-denovo,all,R,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.5052726722207244,0.6098321907761355,-0.10455951855541103,-0.15523139329329233,-0.05236993115313767
eval-denovo,long,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.9437350962619735,0.9548088098707623,-0.011073713608788961,-0.060321414958253994,0.023727279916287296
eval-denovo,long,L,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.3009778216572612,0.3701611908875688,-0.06918336923030761,-0.10659817510517583,-0.0349612819525275
eval-denovo,long,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.4300294979933765,0.5468996238122784,-0.116870125818902,-0.18080245732570993,-0.0558228295384708
eval-denovo,long,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.601158744887092,0.6898288169889938,-0.08867007210190192,-0.14670368850565205,-0.020544696186181214
eval-denovo,long,R,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.43712679933182885,0.572282225386759,-0.1351554260549301,-0.202910413169776,-0.06968195446267898
eval-denovo,medium,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.9843833748967652,0.9786295370391753,0.005753837857589679,-0.005488852736556536,0.01921548452265112
eval-denovo,medium,L,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.16444638902989048,0.17004895608466242,-0.005602567054771893,-0.014841511009217845,0.0002763472522149646
eval-denovo,medium,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.2979757863813958,0.3304883311819841,-0.0325125448005883,-0.06273168061907686,-0.010956766520441601
eval-denovo,medium,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.5700051414592171,0.5778427711090085,-0.007837629649791438,-0.05347296168917559,0.038365139087965114
eval-denovo,medium,R,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.6412738350023508,0.6735879134184737,-0.03231407841612283,-0.0952040686627979,0.039108826674148084
eval-denovo,short,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.9842136025168315,0.985698005901417,-0.0014844033845855238,-0.009690302002635773,0.008531117621411866
eval-denovo,short,L,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.10819997553833288,0.1079567252387865,0.00024325029954636837,-0.001130467012601927,0.0016748954501587532
eval-denovo,short,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.20934877875849184,0.21500108220224878,-0.005652303443756929,-0.01419064184668624,0.001071979454159258
eval-denovo,short,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.4161960288851276,0.47617067627574833,-0.05997464739062085,-0.10882550787823342,-0.01950210504331005
eval-denovo,short,R,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.5869377949598662,0.6460508522477962,-0.05911305728792996,-0.12335097462431927,0.01232058087639565
eval-val,all,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.8864381630044107,0.9363673238898074,-0.04992916088539669,-0.06553038282031474,-0.03469196258068408
eval-val,all,L,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.23248783221440195,0.5220509574938452,-0.28956312527944317,-0.32860651527616586,-0.2503326274635471
eval-val,all,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.32225356614043665,0.7003734650841085,-0.37811989894367193,-0.4275673079886941,-0.32647808990075583
eval-val,all,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.45568818105379183,0.813389030770606,-0.3577008497168142,-0.4115958067813772,-0.3034461365591743
eval-val,all,R,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.24771644329033637,0.551707093687298,-0.30399065039696155,-0.34423762072773595,-0.26420546431925407
eval-val,long,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.8693570189299015,0.9234580326146585,-0.054101013684757164,-0.07299769318437833,-0.03598255667065695
eval-val,long,L,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.15661644582045453,0.39215792899391283,-0.23554148317345838,-0.27021863082673914,-0.20112195452901377
eval-val,long,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.22147643588846694,0.5857486365106738,-0.3642722006222067,-0.4157339760382731,-0.31465440872805517
eval-val,long,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.31945740631421843,0.75276417659811,-0.4333067702838915,-0.49531710551444413,-0.37306006404129494
eval-val,long,R,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.20733489397146512,0.5359090671747445,-0.3285741732032794,-0.3726529661914888,-0.2835884040856191
eval-val,medium,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.8943263617817965,0.9542833095686943,-0.059956947786897676,-0.07447575845917842,-0.04558226035055909
eval-val,medium,L,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.10503734683719868,0.14599576683707585,-0.04095841999987719,-0.04886956531466102,-0.03358335284593878
eval-val,medium,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.15995627031437326,0.26667237595242205,-0.10671610563804883,-0.1248344581080961,-0.08936331719032213
eval-val,medium,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.24739775476055315,0.5020778239090552,-0.254680069148502,-0.2954506790723954,-0.21486964076816992
eval-val,medium,R,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.2698553139788794,0.5555741663528002,-0.28571885237392075,-0.32874495272883875,-0.24272223065768572
eval-val,short,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.9110483580677843,0.9525129543747215,-0.041464596306937496,-0.051601110493798744,-0.0313344973511957
eval-val,short,L,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.10182104629546,0.1154635045899118,-0.013642458294451796,-0.016779905619919242,-0.0107126951439525
eval-val,short,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.1613263203423661,0.21314221912853018,-0.051815898786164105,-0.062485823623605746,-0.0410296207054129
eval-val,short,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.27730736009475443,0.4489045245147919,-0.17159716442003747,-0.19878416013844066,-0.14600036016961454
eval-val,short,R,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.35604789570526185,0.5911248068209554,-0.23507691111569348,-0.2728620857781831,-0.19809094956036644
