eval_set,range,cut,mean,count
eval-denovo,all,AUC,0.9697196426470244,19
eval-denovo,all,L,0.43904381647165924,19
eval-denovo,all,L/2,0.615562845806349,19
eval-denovo,all,L/5,0.7551819152175795,19
eval-denovo,all,R,0.5052726722207245,19
eval-denovo,long,AUC,0.9437350962619735,19
eval-denovo,long,L,0.3009778216572612,19
eval-denovo,long,L/2,0.4300294979933766,19
eval-denovo,long,L/5,0.601158744887092,19
eval-denovo,long,R,0.43712679933182885,19
eval-denovo,medium,AUC,0.9843833748967651,19
eval-denovo,medium,L,0.1644463890298905,19
eval-denovo,medium,L/2,0.2979757863813958,19
eval-denovo,medium,L/5,0.570005141459217,19
eval-denovo,medium,R,0.6412738350023508,19
eval-denovo,short,AUC,0.9842136025168315,19
eval-denovo,short,L,0.1081999755383329,19
eval-denovo,short,L/2,0.20934877875849187,19
eval-denovo,short,L/5,0.4161960288851276,19
eval-denovo,short,R,0.5869377949598662,19
eval-test,all,AUC,0.8920626901065897,217
eval-test,all,L,0.2461313636596785,217
eval-test,all,L/2,0.33664057264222375,217
eval-test,all,L/5,0.4627875433260697,217
eval-test,all,R,0.25404717526454224,217
eval-test,long,AUC,0.876183575688148,217
eval-test,long,L,0.161189203156406,217
eval-test,long,L/2,0.22373852192723195,217
eval-test,long,L/5,0.3119465895411544,217
eval-test,long,R,0.20423244128099577,217
eval-test,medium,AUC,0.9047088326416083,217
eval-test,medium,L,0.11413756565709639,217
eval-test,medium,L/2,0.17402013153761314,217
eval-test,medium,L/5,0.2771556041533135,217
eval-test,medium,R,0.2936018752088682,217
eval-test,short,AUC,0.9127310536980936,217
eval-test,short,L,0.10575327807407077,217
eval-test,short,L/2,0.17304789930889053,217
eval-test,short,L/5,0.29759859590564836,217
eval-test,short,R,0.3588832451539106,217
eval-val,all,AUC,0.8864381630044105,97
eval-val,all,L,0.23248783221440203,97
eval-val,all,L/2,0.3222535661404367,97
eval-val,all,L/5,0.45568818105379194,97
eval-val,all,R,0.2477164432903364,97
eval-val,long,AUC,0.8693570189299015,97
eval-val,long,L,0.15661644582045456,97
eval-val,long,L/2,0.221476435888467,97
eval-val,long,L/5,0.3194574063142185,97
eval-val,long,R,0.20733489397146515,97
eval-val,medium,AUC,0.8943263617817966,97
eval-val,medium,L,0.10503734683719869,97
eval-val,medium,L/2,0.1599562703143733,97
eval-val,medium,L/5,0.2473977547605532,97
eval-val,medium,R,0.26985531397887946,97
eval-val,short,AUC,0.9110483580677842,97
eval-val,short,L,0.10182104629546003,97
eval-val,short,L/2,0.16132632034236613,97
eval-val,short,L/5,0.27730736009475443,97
eval-val,short,R,0.35604789570526185,97
