eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-denovo,all,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.972200380549242,0.9637388263427876,0.008461554206454395,-0.0029309162142227923,0.02135028216107124
eval-denovo,all,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.972200380549242,0.9657666094306936,0.006433771118548493,-0.00481074229007171,0.01951725958896476
eval-denovo,all,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.972200380549242,0.9668991432687107,0.005301237280531235,-0.0047573243810073475,0.01726419935344143
eval-denovo,all,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.45514302553545877,0.5170273561240208,-0.06188433058856212,-0.10473432325710409,-0.024003312660198676
eval-denovo,all,L,marinfold-exp232-decontam-m1-p02-step145199,19,0.45514302553545877,0.5202582284306679,-0.06511520289520897,-0.10725803323000338,-0.023343710418306254
eval-denovo,all,L,marinfold-exp199-cw-p06-cool-step290400,19,0.45514302553545877,0.5329435695209775,-0.07780054398551868,-0.12312647522279835,-0.037077546622571234
eval-denovo,all,L/2,marinfold-exp232-decontam-m2-p06-step145199,19,0.629121479691625,0.6716998018908438,-0.04257832219921871,-0.0871215613521085,0.009196226173185652
eval-denovo,all,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.629121479691625,0.6792731329048899,-0.05015165321326482,-0.10486366587832022,0.013703266791465659
eval-denovo,all,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.629121479691625,0.7101715910451293,-0.08105011135350436,-0.12671493791903168,-0.027675950322513892
eval-denovo,all,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.7885057900598608,0.8111038396723359,-0.02259804961247521,-0.07679283035493606,0.03286055497346961
eval-denovo,all,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.7885057900598608,0.8086870540120509,-0.020181263952190137,-0.06442453017996495,0.028707213518501598
eval-denovo,all,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.7885057900598608,0.849991560488971,-0.06148577042911039,-0.10736582891589393,-0.016380972443031442
eval-denovo,all,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.5248949266051062,0.5913805855058719,-0.06648565890076567,-0.11392597801444602,-0.018260126552841538
eval-denovo,all,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.5248949266051062,0.5878697377395716,-0.06297481113446546,-0.11071939715033013,-0.01222980899256576
eval-denovo,all,R,marinfold-exp199-cw-p06-cool-step290400,19,0.5248949266051062,0.6188362267155597,-0.09394130011045354,-0.14143344646600128,-0.04857092187268513
