eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-denovo,all,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.972200380549242,0.9647347462213182,0.0074656343279240495,-0.004560151134743677,0.021541755825757288
eval-denovo,all,L,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.45514302553545877,0.5356079208750071,-0.08046489533954837,-0.12364583100359046,-0.04185008213723093
eval-denovo,all,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.629121479691625,0.7011213296083002,-0.07199984991667517,-0.12399586453293147,-0.011473573292443393
eval-denovo,all,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.7885057900598608,0.8292321415030075,-0.04072635144314679,-0.09421074604005214,0.020128418018404738
eval-denovo,all,R,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.5248949266051062,0.6098321907761355,-0.08493726417102929,-0.1327780795652037,-0.03716604552813718
eval-denovo,long,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.9609540812656355,0.9548088098707623,0.006145271394872952,-0.011904494613611647,0.02604807903803508
eval-denovo,long,L,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.3110005460928024,0.3701611908875688,-0.05916064479476642,-0.09309345766862176,-0.02823248151517958
eval-denovo,long,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.4547814193091754,0.5468996238122784,-0.09211820450310297,-0.1466160358850546,-0.03801686413242825
eval-denovo,long,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.6319278333337128,0.6898288169889938,-0.05790098365528101,-0.11449790319369554,0.006561689846608047
eval-denovo,long,R,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.4664194247352306,0.572282225386759,-0.10586280065152838,-0.1565455031609368,-0.054694693027222845
eval-denovo,medium,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.9845611699333817,0.9786295370391753,0.005931632894206349,-0.004081838183170011,0.017684547314740947
eval-denovo,medium,L,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.16529481744998717,0.17004895608466242,-0.004754138634675227,-0.01264942721711865,0.0004200898743111987
eval-denovo,medium,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.3001514575204845,0.3304883311819841,-0.030336873661499536,-0.0612898023556625,-0.008905639662082838
eval-denovo,medium,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.5535847726852432,0.5778427711090085,-0.02425799842376526,-0.08880083394497407,0.023872994945190174
eval-denovo,medium,R,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.6290799456864975,0.6735879134184737,-0.044507967731976114,-0.11983098505027175,0.017587847421159486
eval-denovo,short,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.9834774038765296,0.985698005901417,-0.00222060202488745,-0.008144227722455493,0.0058966445615270865
eval-denovo,short,L,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.10782933061616833,0.1079567252387865,-0.00012739462261819492,-0.0015011119347664902,0.0013042505279941899
eval-denovo,short,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.21041171639590064,0.21500108220224878,-0.004589365806348129,-0.010615300207568575,-0.0007412898443291375
eval-denovo,short,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.41865052920034085,0.47617067627574833,-0.05752014707540754,-0.09723823134169728,-0.028484367382988398
eval-denovo,short,R,marinfold-exp232-decontam-train-m2-p06-step363000,19,0.5889257460140311,0.6460508522477962,-0.05712510623376499,-0.11399360553063861,0.004550610090720437
eval-val,all,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.8922992735249546,0.9363673238898074,-0.04406805036485263,-0.059284472406734054,-0.02975160867590003
eval-val,all,L,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.24969633173448985,0.5220509574938452,-0.27235462575935543,-0.31043271249024307,-0.234208763066327
eval-val,all,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.34488117536338725,0.7003734650841085,-0.3554922897207214,-0.40338390515359607,-0.30712304677516405
eval-val,all,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.481569059223009,0.813389030770606,-0.331819971547597,-0.38299426508384665,-0.27948405730201675
eval-val,all,R,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.2669077058698286,0.551707093687298,-0.28479938781746933,-0.3247772070467022,-0.24590164925671928
eval-val,long,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.8761345595138749,0.9234580326146585,-0.04732347310078376,-0.06544986165266647,-0.02979092744711104
eval-val,long,L,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.16988923733363046,0.39215792899391283,-0.22226869166028243,-0.2565450588184808,-0.1883140303059742
eval-val,long,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.23951610353939815,0.5857486365106738,-0.3462325329712756,-0.39592087185484276,-0.29781296177521954
eval-val,long,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.34829470954039704,0.75276417659811,-0.40446946705771286,-0.46508788515073657,-0.34582767601427084
eval-val,long,R,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.22459054178826107,0.5359090671747445,-0.31131852538648336,-0.35551445064644766,-0.2663965234184702
eval-val,medium,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.9029094651984496,0.9542833095686943,-0.05137384437024457,-0.06541945413265864,-0.03734057451814454
eval-val,medium,L,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.11035657459592621,0.14599576683707585,-0.035639192241149635,-0.042870110932265906,-0.028846207259091566
eval-val,medium,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.1685353570583858,0.26667237595242205,-0.09813701889403627,-0.115576982017975,-0.08144127975561942
eval-val,medium,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.2678215319062086,0.5020778239090552,-0.2342562920028466,-0.27350488629895486,-0.19630158140122944
eval-val,medium,R,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.2843622039783018,0.5555741663528002,-0.2712119623744984,-0.3137564425610846,-0.22935181438969315
eval-val,short,AUC,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.9152306160777482,0.9525129543747215,-0.03728233829697343,-0.04721115710529293,-0.02754364165962516
eval-val,short,L,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.10238795336924739,0.1154635045899118,-0.013075551220664401,-0.016410595224356665,-0.010044729974680429
eval-val,short,L/2,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.16530900797847323,0.21314221912853018,-0.04783321115005694,-0.057756652282111055,-0.0377660407770857
eval-val,short,L/5,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.28643356871712483,0.4489045245147919,-0.1624709557976671,-0.18753395726343883,-0.1389866363861556
eval-val,short,R,marinfold-exp232-decontam-train-m2-p06-step363000,97,0.36560624369954275,0.5911248068209554,-0.22551856312141255,-0.25846641822677835,-0.1934303859975397
