eval_set,range,cut,mean,count
eval-denovo,all,AUC,0.9722003805492422,19
eval-denovo,all,L,0.4551430255354589,19
eval-denovo,all,L/2,0.629121479691625,19
eval-denovo,all,L/5,0.7885057900598607,19
eval-denovo,all,R,0.5248949266051062,19
eval-denovo,long,AUC,0.9609540812656355,19
eval-denovo,long,L,0.3110005460928025,19
eval-denovo,long,L/2,0.45478141930917554,19
eval-denovo,long,L/5,0.6319278333337128,19
eval-denovo,long,R,0.4664194247352306,19
eval-denovo,medium,AUC,0.9845611699333817,19
eval-denovo,medium,L,0.16529481744998717,19
eval-denovo,medium,L/2,0.30015145752048455,19
eval-denovo,medium,L/5,0.5535847726852432,19
eval-denovo,medium,R,0.6290799456864975,19
eval-denovo,short,AUC,0.9834774038765296,19
eval-denovo,short,L,0.10782933061616835,19
eval-denovo,short,L/2,0.2104117163959007,19
eval-denovo,short,L/5,0.41865052920034085,19
eval-denovo,short,R,0.5889257460140312,19
eval-test,all,AUC,0.8983056021060689,217
eval-test,all,L,0.2650584818593217,217
eval-test,all,L/2,0.36516277597909086,217
eval-test,all,L/5,0.4941786247392536,217
eval-test,all,R,0.2770410266430981,217
eval-test,long,AUC,0.8836298529727546,217
eval-test,long,L,0.17564188743666329,217
eval-test,long,L/2,0.24835547020866738,217
eval-test,long,L/5,0.3500017960781666,217
eval-test,long,R,0.22480357224707223,217
eval-test,medium,AUC,0.9109527251076542,217
eval-test,medium,L,0.11715582288918973,217
eval-test,medium,L/2,0.18283545827140357,217
eval-test,medium,L/5,0.29663174171815565,217
eval-test,medium,R,0.31855884932890705,217
eval-test,short,AUC,0.9166952939225222,217
eval-test,short,L,0.10710465554390383,217
eval-test,short,L/2,0.17621098860281464,217
eval-test,short,L/5,0.3090419953012082,217
eval-test,short,R,0.3803064735548685,217
eval-val,all,AUC,0.8922992735249546,97
eval-val,all,L,0.24969633173448985,97
eval-val,all,L/2,0.3448811753633872,97
eval-val,all,L/5,0.481569059223009,97
eval-val,all,R,0.2669077058698286,97
eval-val,long,AUC,0.8761345595138749,97
eval-val,long,L,0.16988923733363046,97
eval-val,long,L/2,0.23951610353939817,97
eval-val,long,L/5,0.34829470954039715,97
eval-val,long,R,0.22459054178826116,97
eval-val,medium,AUC,0.9029094651984496,97
eval-val,medium,L,0.11035657459592625,97
eval-val,medium,L/2,0.16853535705838585,97
eval-val,medium,L/5,0.2678215319062086,97
eval-val,medium,R,0.2843622039783018,97
eval-val,short,AUC,0.9152306160777482,97
eval-val,short,L,0.10238795336924741,97
eval-val,short,L/2,0.16530900797847328,97
eval-val,short,L/5,0.28643356871712483,97
eval-val,short,R,0.3656062436995428,97
