dataset,stem,eval_set,L,n_rollouts,oracle_r_precision,oracle_long_r_precision,mean_r_precision,mean_long_r_precision,consensus_r_precision,consensus_long_r_precision,oracle_rollout,mean_contacts,unique_maps,mean_pairwise_jaccard,n_true,oracle_curve,inference_seconds
foldbench_monomer,7pv5_A,eval-val,81,100,0.3333333333333333,0.3333333333333333,0.13707579365297795,0.08195354608085703,0.296875,0.14634146341463414,77,40.14,100,0.02902489155050558,64,"{'1': 0.1346153846153846, '2': 0.1346153846153846, '4': 0.1346153846153846, '8': 0.19230769230769232, '16': 0.19230769230769232, '32': 0.19230769230769232, '64': 0.3, '100': 0.3333333333333333}",0.8202004246413708
foldbench_monomer,7qp5_A,eval-val,245,100,0.12844036697247707,0.15217391304347827,0.05777051052715335,0.021551173855168818,0.12448132780082988,0.030303030303030304,73,113.0,100,0.019039164014859,241,"{'1': 0.015503875968992248, '2': 0.08035714285714286, '4': 0.08280254777070063, '8': 0.08280254777070063, '16': 0.08280254777070063, '32': 0.08602150537634409, '64': 0.12612612612612611, '100': 0.12844036697247707}",3.2489157961681485
foldbench_monomer,7qsj_A,eval-val,373,100,0.10810810810810811,0.06451612903225806,0.05180802030347076,0.022985640922926442,0.14121037463976946,0.06637168141592921,23,231.05,100,0.014199168039581333,347,"{'1': 0.027522935779816515, '2': 0.05913978494623656, '4': 0.06190476190476191, '8': 0.06190476190476191, '16': 0.09497206703910614, '32': 0.10810810810810811, '64': 0.10810810810810811, '100': 0.10810810810810811}",8.105796369723976
foldbench_monomer,7t9r_A,eval-val,38,100,0.29411764705882354,1.0,0.09314971333836591,0.0465952380952381,0.20833333333333334,0.14285714285714285,48,19.84,100,0.050864234554095666,24,"{'1': 0.08333333333333333, '2': 0.08333333333333333, '4': 0.15384615384615385, '8': 0.15384615384615385, '16': 0.15384615384615385, '32': 0.21739130434782608, '64': 0.29411764705882354, '100': 0.29411764705882354}",0.7903566164895892
foldbench_monomer,7tjb_A,eval-val,227,100,0.15789473684210525,0.171875,0.09151427153620915,0.06973232812046015,0.208955223880597,0.21641791044776118,10,110.9,100,0.02673389461460497,201,"{'1': 0.0873015873015873, '2': 0.08823529411764706, '4': 0.12195121951219512, '8': 0.12195121951219512, '16': 0.15789473684210525, '32': 0.15789473684210525, '64': 0.15789473684210525, '100': 0.15789473684210525}",2.823058931156993
foldbench_monomer,7tlh_A,eval-val,136,100,0.16666666666666666,0.14634146341463414,0.05738769804502697,0.038072399797560844,0.10526315789473684,0.03896103896103896,9,54.5,100,0.015432136253929057,114,"{'1': 0.018518518518518517, '2': 0.08620689655172414, '4': 0.08620689655172414, '8': 0.09375, '16': 0.16666666666666666, '32': 0.16666666666666666, '64': 0.16666666666666666, '100': 0.16666666666666666}",1.2023388547822833
foldbench_monomer,7uba_A,eval-val,213,100,0.14285714285714285,0.18181818181818182,0.06340123623517757,0.037782169461600804,0.11057692307692307,0.06569343065693431,48,102.32,100,0.02272377395551356,208,"{'1': 0.049019607843137254, '2': 0.06578947368421052, '4': 0.13541666666666666, '8': 0.13541666666666666, '16': 0.13541666666666666, '32': 0.13541666666666666, '64': 0.14285714285714285, '100': 0.14285714285714285}",2.543229792267084
foldbench_monomer,7uk8_A,eval-val,394,100,0.08056872037914692,0.0660377358490566,0.042181684686454154,0.02371927038061036,0.09885931558935361,0.04522613065326633,46,264.59,100,0.0165858639317613,526,"{'1': 0.041044776119402986, '2': 0.041044776119402986, '4': 0.051470588235294115, '8': 0.06550218340611354, '16': 0.06550218340611354, '32': 0.06550218340611354, '64': 0.08056872037914692, '100': 0.08056872037914692}",9.391077272593975
foldbench_monomer,7ur2_A,eval-val,195,100,0.1388888888888889,0.1590909090909091,0.06180435123377495,0.049401221806161064,0.12408759124087591,0.11607142857142858,18,95.9,100,0.020078634143712075,137,"{'1': 0.07407407407407407, '2': 0.07407407407407407, '4': 0.07407407407407407, '8': 0.07407407407407407, '16': 0.08333333333333333, '32': 0.1388888888888889, '64': 0.1388888888888889, '100': 0.1388888888888889}",1.8446462508291006
foldbench_monomer,7urp_A,eval-val,160,100,0.13541666666666666,0.1111111111111111,0.05283520196688409,0.03180846485299619,0.09701492537313433,0.061224489795918366,78,85.83,100,0.026598083685675847,134,"{'1': 0.05309734513274336, '2': 0.05309734513274336, '4': 0.05309734513274336, '8': 0.05333333333333334, '16': 0.11594202898550725, '32': 0.11594202898550725, '64': 0.11688311688311688, '100': 0.13541666666666666}",1.0981235532090068
