dataset,stem,n_residues,model,mode,predictor,neff_tier,fold_verdict,seq_leakage,msa_neff,length,range,cut,precision,n_candidate,n_true,n_top,eval_set
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,all,L,0.2625,27495,111,240,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,all,L/2,0.4083333333333333,27495,111,120,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,all,L/5,0.5416666666666666,27495,111,48,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,all,R,0.4144144144144144,27495,111,111,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,all,AUC,0.9761692564606674,27495,111,27495,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,short,L,0.08333333333333333,1389,20,240,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,short,L/2,0.15833333333333333,1389,20,120,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,short,L/5,0.3125,1389,20,48,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,short,R,0.35,1389,20,20,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,short,AUC,0.9807341124908692,1389,20,1389,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,medium,L,0.075,2670,18,240,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.14166666666666666,2670,18,120,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.3541666666666667,2670,18,48,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,medium,R,0.6666666666666666,2670,18,18,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.9936630635160046,2670,18,2670,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,long,L,0.16666666666666666,23436,73,240,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,long,L/2,0.26666666666666666,23436,73,120,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,long,L/5,0.375,23436,73,48,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,long,R,0.3150684931506849,23436,73,73,teacher-fit
afdb,AF-V9IFX4-F1,240,sparsa,single_seq,pair_network,,,,,,long,AUC,0.9709521963953072,23436,73,23436,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,all,L,0.25719424460431656,151525,482,556,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,all,L/2,0.3381294964028777,151525,482,278,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,all,L/5,0.45045045045045046,151525,482,111,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,all,R,0.26556016597510373,151525,482,482,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,all,AUC,0.9673896002190907,151525,482,151525,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,short,L,0.09352517985611511,3285,70,556,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,short,L/2,0.15467625899280577,3285,70,278,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,short,L/5,0.25225225225225223,3285,70,111,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,short,R,0.2857142857142857,3285,70,70,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,short,AUC,0.9172072872694956,3285,70,3285,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,medium,L,0.12589928057553956,6462,88,556,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.20863309352517986,6462,88,278,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.3333333333333333,6462,88,111,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,medium,R,0.42045454545454547,6462,88,88,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.9418981943691702,6462,88,6462,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,long,L,0.15467625899280577,141778,324,556,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,long,L/2,0.23381294964028776,141778,324,278,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,long,L/5,0.34234234234234234,141778,324,111,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,long,R,0.21604938271604937,141778,324,324,teacher-fit
afdb,AF-A0A482Z2M5-F1,556,sparsa,single_seq,pair_network,,,,,,long,AUC,0.9666176213634516,141778,324,141778,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,all,L,0.07692307692307693,15576,133,182,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,all,L/2,0.08791208791208792,15576,133,91,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,all,L/5,0.16666666666666666,15576,133,36,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,all,R,0.08270676691729323,15576,133,133,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,all,AUC,0.900148691355404,15576,133,15576,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,short,L,0.07692307692307693,1041,16,182,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,short,L/2,0.14285714285714285,1041,16,91,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,short,L/5,0.1111111111111111,1041,16,36,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,short,R,0.125,1041,16,16,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,short,AUC,0.9401219512195123,1041,16,1041,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,medium,L,0.054945054945054944,1974,26,182,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.06593406593406594,1974,26,91,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.08333333333333333,1974,26,36,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,medium,R,0.11538461538461539,1974,26,26,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.8551374190491234,1974,26,1974,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,long,L,0.09340659340659341,12561,91,182,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,long,L/2,0.08791208791208792,12561,91,91,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,long,L/5,0.05555555555555555,12561,91,36,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,long,R,0.08791208791208792,12561,91,91,teacher-fit
afdb,AF-A0A4Q3UHZ3-F1,182,sparsa,single_seq,pair_network,,,,,,long,AUC,0.8992333248147202,12561,91,12561,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,all,L,0.21487603305785125,63903,227,363,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,all,L/2,0.3149171270718232,63903,227,181,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,all,L/5,0.5277777777777778,63903,227,72,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,all,R,0.28634361233480177,63903,227,227,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,all,AUC,0.9395844961815225,63903,227,63903,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,short,L,0.06887052341597796,2127,27,363,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,short,L/2,0.13259668508287292,2127,27,181,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,short,L/5,0.2361111111111111,2127,27,72,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,short,R,0.4444444444444444,2127,27,27,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,short,AUC,0.9684038800705468,2127,27,2127,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,medium,L,0.08539944903581267,4146,34,363,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.16022099447513813,4146,34,181,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.3611111111111111,4146,34,72,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,medium,R,0.5882352941176471,4146,34,34,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.9817964637216754,4146,34,4146,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,long,L,0.12121212121212122,57630,166,363,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,long,L/2,0.18232044198895028,57630,166,181,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,long,L/5,0.2361111111111111,57630,166,72,teacher-fit
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,long,R,0.18072289156626506,57630,166,166,teacher-fit
