dataset,stem,eval_set,L,n_rollouts,oracle_r_precision,oracle_long_r_precision,mean_r_precision,mean_long_r_precision,consensus_r_precision,consensus_long_r_precision,oracle_rollout,mean_contacts,unique_maps,mean_pairwise_jaccard,n_true,oracle_curve,inference_seconds
foldbench_monomer,7pv5_A,eval-val,81,100,0.5,0.4838709677419355,0.28421452628890115,0.23071127891888688,0.4375,0.2682926829268293,78,59.14,100,0.1372815061671397,64,"{'1': 0.296875, '2': 0.3333333333333333, '4': 0.3333333333333333, '8': 0.33962264150943394, '16': 0.36, '32': 0.40816326530612246, '64': 0.4909090909090909, '100': 0.5}",1.0472484140009328
foldbench_monomer,7qp5_A,eval-val,245,100,0.16129032258064516,0.11458333333333333,0.0791807308791252,0.03177071365662627,0.1825726141078838,0.07272727272727272,2,141.51,100,0.027088668894729738,241,"{'1': 0.10526315789473684, '2': 0.10526315789473684, '4': 0.16129032258064516, '8': 0.16129032258064516, '16': 0.16129032258064516, '32': 0.16129032258064516, '64': 0.16129032258064516, '100': 0.16129032258064516}",5.879881068998657
foldbench_monomer,7qsj_A,eval-val,373,100,0.17616580310880828,0.12307692307692308,0.09093008534781877,0.04843781138896788,0.2017291066282421,0.11946902654867257,88,221.71,100,0.02297007781488203,347,"{'1': 0.1, '2': 0.1, '4': 0.1, '8': 0.11518324607329843, '16': 0.17346938775510204, '32': 0.17346938775510204, '64': 0.17346938775510204, '100': 0.17616580310880828}",15.437980083999719
foldbench_monomer,7t9r_A,eval-val,38,100,0.3333333333333333,1.0,0.12001570338360282,0.08380952380952379,0.16666666666666666,0.14285714285714285,5,21.6,100,0.05736467693970791,24,"{'1': 0.23809523809523808, '2': 0.23809523809523808, '4': 0.23809523809523808, '8': 0.3333333333333333, '16': 0.3333333333333333, '32': 0.3333333333333333, '64': 0.3333333333333333, '100': 0.3333333333333333}",0.9698112400001264
foldbench_monomer,7tjb_A,eval-val,227,100,0.2781065088757396,0.32051282051282054,0.20593389854268754,0.1943805653762505,0.36318407960199006,0.3582089552238806,89,161.78,100,0.0875178205600157,201,"{'1': 0.15384615384615385, '2': 0.176056338028169, '4': 0.22727272727272727, '8': 0.2692307692307692, '16': 0.2692307692307692, '32': 0.2692307692307692, '64': 0.2692307692307692, '100': 0.2781065088757396}",5.0637169490000815
foldbench_monomer,7tlh_A,eval-val,136,100,0.16981132075471697,0.15384615384615385,0.05798941187359865,0.04263153393215616,0.07894736842105263,0.05194805194805195,6,57.6,100,0.016650540207139023,114,"{'1': 0.04918032786885246, '2': 0.10526315789473684, '4': 0.10526315789473684, '8': 0.16981132075471697, '16': 0.16981132075471697, '32': 0.16981132075471697, '64': 0.16981132075471697, '100': 0.16981132075471697}",1.864080602001195
foldbench_monomer,7uba_A,eval-val,213,100,0.23684210526315788,0.18518518518518517,0.10366378827720765,0.04558522437033467,0.18269230769230768,0.08029197080291971,25,117.71,100,0.03621090537327268,208,"{'1': 0.15463917525773196, '2': 0.15463917525773196, '4': 0.15463917525773196, '8': 0.18571428571428572, '16': 0.18571428571428572, '32': 0.23684210526315788, '64': 0.23684210526315788, '100': 0.23684210526315788}",4.480681375000131
foldbench_monomer,7uk8_A,eval-val,394,100,0.10267857142857142,0.07857142857142857,0.05210652454409123,0.032484134423491705,0.11026615969581749,0.06281407035175879,55,253.45,100,0.020249812920393635,526,"{'1': 0.050387596899224806, '2': 0.050387596899224806, '4': 0.050387596899224806, '8': 0.08627450980392157, '16': 0.08627450980392157, '32': 0.08627450980392157, '64': 0.10267857142857142, '100': 0.10267857142857142}",18.022059355000238
foldbench_monomer,7ur2_A,eval-val,195,100,0.1590909090909091,0.1896551724137931,0.08895948710760086,0.07455476224208026,0.145985401459854,0.13392857142857142,16,119.7,100,0.06139472138142173,137,"{'1': 0.05, '2': 0.06521739130434782, '4': 0.1188118811881188, '8': 0.13333333333333333, '16': 0.13675213675213677, '32': 0.1590909090909091, '64': 0.1590909090909091, '100': 0.1590909090909091}",3.489022293000744
foldbench_monomer,7urp_A,eval-val,160,100,0.2345679012345679,0.3076923076923077,0.11573055719155491,0.11550022048377663,0.23880597014925373,0.22448979591836735,16,95.05,100,0.038751095899255614,134,"{'1': 0.06451612903225806, '2': 0.07954545454545454, '4': 0.15476190476190477, '8': 0.16304347826086957, '16': 0.16304347826086957, '32': 0.2345679012345679, '64': 0.2345679012345679, '100': 0.2345679012345679}",2.0211803450001753
