dataset,stem,n_residues,model,mode,predictor,neff_tier,fold_verdict,seq_leakage,msa_neff,length,range,cut,precision,n_candidate,n_true,n_top,eval_set
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,all,L,0.5,219,17,30,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,all,L/2,0.8,219,17,15,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,all,L/5,1.0,219,17,6,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,all,R,0.7647058823529411,219,17,17,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,all,AUC,0.9807804309842749,219,17,219,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,short,L,0.13333333333333333,102,4,30,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,short,L/2,0.26666666666666666,102,4,15,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,short,L/5,0.3333333333333333,102,4,6,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,short,R,0.5,102,4,4,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,short,AUC,0.9744897959183674,102,4,102,eval-denovo
foldbench_monomer,5sbj_A,30,sparsa-scale-main-20260911-long-step-2000,single_seq,pair_network,,,,,,medium,L,0.3,107,9,30,eval-denovo
