dataset,stem,eval_set,L,n_rollouts,oracle_r_precision,oracle_long_r_precision,mean_r_precision,mean_long_r_precision,consensus_r_precision,consensus_long_r_precision,oracle_rollout,mean_contacts,unique_maps,mean_pairwise_jaccard,n_true,oracle_curve,inference_seconds
foldbench_monomer,7pv5_A,eval-val,81,100,0.4375,0.4230769230769231,0.28111390845995354,0.24353016516416034,0.390625,0.34146341463414637,50,55.37,100,0.14497127639863147,64,"{'1': 0.3137254901960784, '2': 0.3137254901960784, '4': 0.38095238095238093, '8': 0.38095238095238093, '16': 0.38095238095238093, '32': 0.4, '64': 0.4375, '100': 0.4375}",0.791360197996255
foldbench_monomer,7qp5_A,eval-val,245,100,0.1650485436893204,0.14754098360655737,0.07863589960589355,0.03472886850382328,0.1825726141078838,0.12121212121212122,63,120.11,100,0.023231138359744514,241,"{'1': 0.06956521739130435, '2': 0.08411214953271028, '4': 0.13402061855670103, '8': 0.13402061855670103, '16': 0.13402061855670103, '32': 0.13934426229508196, '64': 0.1650485436893204, '100': 0.1650485436893204}",3.2211046120210085
foldbench_monomer,7qsj_A,eval-val,373,100,0.1377245508982036,0.09448818897637795,0.07693965717416106,0.03168949463185007,0.1873198847262248,0.07964601769911504,70,229.64,100,0.018761523084994822,347,"{'1': 0.07216494845360824, '2': 0.07216494845360824, '4': 0.07582938388625593, '8': 0.09836065573770492, '16': 0.11386138613861387, '32': 0.11386138613861387, '64': 0.13488372093023257, '100': 0.1377245508982036}",8.087442576012108
foldbench_monomer,7t9r_A,eval-val,38,100,0.36363636363636365,1.0,0.09168611249020792,0.07,0.16666666666666666,0.2857142857142857,70,21.52,100,0.05607205243139257,24,"{'1': 0.041666666666666664, '2': 0.041666666666666664, '4': 0.08333333333333333, '8': 0.13333333333333333, '16': 0.18181818181818182, '32': 0.20833333333333334, '64': 0.2916666666666667, '100': 0.36363636363636365}",0.7411412899964489
foldbench_monomer,7tjb_A,eval-val,227,100,0.2916666666666667,0.30851063829787234,0.1748150154793192,0.1583443042199073,0.3482587064676617,0.34328358208955223,4,131.76,100,0.057338526098332204,201,"{'1': 0.11304347826086956, '2': 0.16923076923076924, '4': 0.16923076923076924, '8': 0.2916666666666667, '16': 0.2916666666666667, '32': 0.2916666666666667, '64': 0.2916666666666667, '100': 0.2916666666666667}",2.8152739090146497
foldbench_monomer,7tlh_A,eval-val,136,100,0.19607843137254902,0.21875,0.06282757852755307,0.045780661788031224,0.11403508771929824,0.1038961038961039,6,52.79,100,0.01483465213625071,114,"{'1': 0.02631578947368421, '2': 0.1, '4': 0.1, '8': 0.19607843137254902, '16': 0.19607843137254902, '32': 0.19607843137254902, '64': 0.19607843137254902, '100': 0.19607843137254902}",1.1784168089798186
foldbench_monomer,7uba_A,eval-val,213,100,0.1935483870967742,0.17073170731707318,0.10005851284459913,0.05253091809270427,0.15865384615384615,0.0948905109489051,81,105.85,100,0.03268441355616889,208,"{'1': 0.16923076923076924, '2': 0.16923076923076924, '4': 0.16923076923076924, '8': 0.16923076923076924, '16': 0.16923076923076924, '32': 0.18604651162790697, '64': 0.18604651162790697, '100': 0.1935483870967742}",2.526392992993351
foldbench_monomer,7uk8_A,eval-val,394,100,0.09966777408637874,0.104,0.050450618816405245,0.02836177375169434,0.11216730038022814,0.052763819095477386,40,271.48,100,0.019466954232154193,526,"{'1': 0.035856573705179286, '2': 0.035856573705179286, '4': 0.04265402843601896, '8': 0.06870229007633588, '16': 0.06870229007633588, '32': 0.08333333333333333, '64': 0.09966777408637874, '100': 0.09966777408637874}",9.34733084900654
foldbench_monomer,7ur2_A,eval-val,195,100,0.189873417721519,0.2222222222222222,0.1015400230507836,0.09510469498816754,0.1897810218978102,0.16071428571428573,52,109.6,100,0.054790799378091115,137,"{'1': 0.0390625, '2': 0.12280701754385964, '4': 0.14473684210526316, '8': 0.14473684210526316, '16': 0.14473684210526316, '32': 0.18604651162790697, '64': 0.189873417721519, '100': 0.189873417721519}",1.8443832240009215
foldbench_monomer,7urp_A,eval-val,160,100,0.21686746987951808,0.27450980392156865,0.1116552639050052,0.09938683293191936,0.2537313432835821,0.22448979591836735,80,90.69,100,0.03400158324880114,134,"{'1': 0.06593406593406594, '2': 0.08791208791208792, '4': 0.16666666666666666, '8': 0.16666666666666666, '16': 0.16666666666666666, '32': 0.16666666666666666, '64': 0.2079207920792079, '100': 0.21686746987951808}",1.0984486590023153
foldbench_monomer,7uvg_A,eval-val,183,100,0.21052631578947367,0.2777777777777778,0.08527583301351167,0.07225230505781445,0.16853932584269662,0.1484375,47,103.24,100,0.042398599864602725,178,"{'1': 0.06944444444444445, '2': 0.06944444444444445, '4': 0.13043478260869565, '8': 0.18518518518518517, '16': 0.18518518518518517, '32': 0.18518518518518517, '64': 0.21052631578947367, '100': 0.21052631578947367}",1.579011279012775
foldbench_monomer,7uww_A,eval-val,635,100,0.11242603550295859,0.05223880597014925,0.045355168756096916,0.016441941669954628,0.11976911976911978,0.03375527426160337,90,364.31,100,0.014784500413059072,693,"{'1': 0.046153846153846156, '2': 0.0684931506849315, '4': 0.0684931506849315, '8': 0.07326007326007326, '16': 0.07326007326007326, '32': 0.07627118644067797, '64': 0.07627118644067797, '100': 0.11242603550295859}",30.444462482002564
foldbench_monomer,7v3o_A,eval-val,328,100,0.1171875,0.09876543209876543,0.05116087296493328,0.022800290713699236,0.09926470588235294,0.058823529411764705,88,167.5,100,0.015223205336347651,272,"{'1': 0.035398230088495575, '2': 0.047619047619047616, '4': 0.047619047619047616, '8': 0.06956521739130435, '16': 0.07741935483870968, '32': 0.09734513274336283, '64': 0.09734513274336283, '100': 0.1171875}",5.08476072299527
foldbench_monomer,7w15_A,eval-val,302,100,0.17829457364341086,0.1,0.08783379211217192,0.028955477214425485,0.17491749174917492,0.07614213197969544,11,169.74,100,0.028803755829722392,303,"{'1': 0.10106382978723404, '2': 0.10106382978723404, '4': 0.14473684210526316, '8': 0.14473684210526316, '16': 0.17829457364341086, '32': 0.17829457364341086, '64': 0.17829457364341086, '100': 0.17829457364341086}",4.676422999997158
